,LDS,No.,Date,Sale,PLACE,Status,COUNTRY,QUALITY,Currency,P/O. No.,Qnt/40ft,Supplier,Order qnt,Loaded qnt,PRICE QUOTE,Shipped qnt,Product Code,Product Name,Commission % ,Customer Code,Main material,Name Customer, Order in Cont.,Loaded in Cont.,SALES Amount US$,SALES Unitpr US$,Shipped in Cont.,To Be Shipped qnt,SHIPPED AMOUNT IN USD,To Be Shipped in Cont.,COMMISSION AMOUNT IN USD,TOTAL SALES AMOUNT IN USD,Commission Unitprice in USD,TO BE SHIPPED AMOUNT IN USD, SALES FOB UNIT PRICE  in USD,Commission Unit price in USD (of USD order)
0,2020-10-02T00:00:00,1,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31062VN,338,DL2-01-VBD,4,4,001/DL2/2020-2021,4,B123-23,CHÂN CONG GIƯỜNG KING ,0,PKV,NONE,PILLOW KINGDOM,0.011834319526627219,0.011834319526627219,189.48,47.37,0.011834319526627219,0,189.48,0.0,0,189.48,0,0.0,47.37,0
1,2020-10-02T00:00:00,2,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31063VN,338,DL2-01-VBD,4,4,001/DL2/2020-2021,4,B123-23,CHÂN CONG GIƯỜNG KING ,0,PKV,NONE,PILLOW KINGDOM,0.011834319526627219,0.011834319526627219,189.48,47.37,0.011834319526627219,0,189.48,0.0,0,189.48,0,0.0,47.37,0
2,2020-10-02T00:00:00,3,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31064VN,338,DL2-01-VBD,4,4,001/DL2/2020-2021,4,B123-23,CHÂN CONG GIƯỜNG KING ,0,PKV,NONE,PILLOW KINGDOM,0.011834319526627219,0.011834319526627219,189.48,47.37,0.011834319526627219,0,189.48,0.0,0,189.48,0,0.0,47.37,0
3,2020-10-22T00:00:00,4,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31066VN,338,DL2-01-VBD,14,14,001/DL2/2020-2021,14,B123-23,CHÂN CONG GIƯỜNG KING ,0,PKV,NONE,PILLOW KINGDOM,0.04142011834319527,0.04142011834319527,663.18,47.37,0.04142011834319527,0,663.18,0.0,0,663.18,0,0.0,47.37,0
4,2020-10-22T00:00:00,5,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31065VN,338,DL2-01-VBD,4,4,001/DL2/2020-2021,4,B123-23,CHÂN CONG GIƯỜNG KING ,0,PKV,NONE,PILLOW KINGDOM,0.011834319526627219,0.011834319526627219,189.48,47.37,0.011834319526627219,0,189.48,0.0,0,189.48,0,0.0,47.37,0
5,2020-10-22T00:00:00,6,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31065VN,338,DL2-01-VBD,24,24,001/DL2/2020-2021,24,B123-13,CHÂN CONG GIƯỜNG QUEEN ,0,PKV,NONE,PILLOW KINGDOM,0.07100591715976332,0.07100591715976332,1136.8799999999999,47.37,0.07100591715976332,0,1136.8799999999999,0.0,0,1136.8799999999999,0,0.0,47.37,0
6,2020-10-22T00:00:00,7,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31066VN,338,DL2-01-VBD,23,23,001/DL2/2020-2021,23,B123-13,CHÂN CONG GIƯỜNG QUEEN ,0,PKV,NONE,PILLOW KINGDOM,0.06804733727810651,0.06804733727810651,1089.51,47.37,0.06804733727810651,0,1089.51,0.0,0,1089.51,0,0.0,47.37,0
7,2020-10-02T00:00:00,8,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31064VN,338,DL2-01-VBD,24,24,001/DL2/2020-2021,24,B123-13,CHÂN CONG GIƯỜNG QUEEN ,0,PKV,NONE,PILLOW KINGDOM,0.07100591715976332,0.07100591715976332,1136.8799999999999,47.37,0.07100591715976332,0,1136.8799999999999,0.0,0,1136.8799999999999,0,0.0,47.37,0
8,2020-10-02T00:00:00,9,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31063VN,338,DL2-01-VBD,24,24,001/DL2/2020-2021,24,B123-13,CHÂN CONG GIƯỜNG QUEEN ,0,PKV,NONE,PILLOW KINGDOM,0.07100591715976332,0.07100591715976332,1136.8799999999999,47.37,0.07100591715976332,0,1136.8799999999999,0.0,0,1136.8799999999999,0,0.0,47.37,0
9,2020-10-02T00:00:00,10,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31062VN,338,DL2-01-VBD,24,24,001/DL2/2020-2021,24,B123-13,CHÂN CONG GIƯỜNG QUEEN ,0,PKV,NONE,PILLOW KINGDOM,0.07100591715976332,0.07100591715976332,1136.8799999999999,47.37,0.07100591715976332,0,1136.8799999999999,0.0,0,1136.8799999999999,0,0.0,47.37,0
10,2020-10-02T00:00:00,11,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31062VN,338,DL2-01-VBD,8,8,001/DL2/2020-2021,8,B123-33,Chân Giương Full ,0,PKV,NONE,PILLOW KINGDOM,0.023668639053254437,0.023668639053254437,378.96,47.37,0.023668639053254437,0,378.96,0.0,0,378.96,0,0.0,47.37,0
11,2020-10-02T00:00:00,12,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31063VN,338,DL2-01-VBD,8,8,001/DL2/2020-2021,8,B123-33,Chân Giương Full ,0,PKV,NONE,PILLOW KINGDOM,0.023668639053254437,0.023668639053254437,378.96,47.37,0.023668639053254437,0,378.96,0.0,0,378.96,0,0.0,47.37,0
12,2020-10-02T00:00:00,13,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31064VN,338,DL2-01-VBD,8,8,001/DL2/2020-2021,8,B123-33,Chân Giương Full ,0,PKV,NONE,PILLOW KINGDOM,0.023668639053254437,0.023668639053254437,378.96,47.37,0.023668639053254437,0,378.96,0.0,0,378.96,0,0.0,47.37,0
13,2020-10-22T00:00:00,14,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31066VN,338,DL2-01-VBD,7,7,001/DL2/2020-2021,7,B123-33,Chân Giương Full ,0,PKV,NONE,PILLOW KINGDOM,0.020710059171597635,0.020710059171597635,331.59,47.37,0.020710059171597635,0,331.59,0.0,0,331.59,0,0.0,47.37,0
14,2020-10-22T00:00:00,15,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31065VN,338,DL2-01-VBD,8,8,001/DL2/2020-2021,8,B123-33,Chân Giương Full ,0,PKV,NONE,PILLOW KINGDOM,0.023668639053254437,0.023668639053254437,378.96,47.37,0.023668639053254437,0,378.96,0.0,0,378.96,0,0.0,47.37,0
15,2020-10-22T00:00:00,16,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31065VN,245,DL2-01-VBD,8,8,001/DL2/2020-2021,8,B123-31,Đầu Cao Giường Full ,0,PKV,NONE,PILLOW KINGDOM,0.0326530612244898,0.0326530612244898,369.92,46.24,0.0326530612244898,0,369.92,0.0,0,369.92,0,0.0,46.24,0
16,2020-10-22T00:00:00,17,2020-10-22T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31066VN,245,DL2-01-VBD,4,4,001/DL2/2020-2021,4,B123-31,Đầu Cao Giường Full ,0,PKV,NONE,PILLOW KINGDOM,0.0163265306122449,0.0163265306122449,184.96,46.24,0.0163265306122449,0,184.96,0.0,0,184.96,0,0.0,46.24,0
17,2020-10-02T00:00:00,18,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31064VN,245,DL2-01-VBD,8,8,001/DL2/2020-2021,8,B123-31,Đầu Cao Giường Full ,0,PKV,NONE,PILLOW KINGDOM,0.0326530612244898,0.0326530612244898,369.92,46.24,0.0326530612244898,0,369.92,0.0,0,369.92,0,0.0,46.24,0
18,2020-10-02T00:00:00,19,2020-10-02T00:00:00,Mr. Duy,BINH DUONG,0,US,FA,USD,31063VN,245,DL2-01-VBD,8,8,001/DL2/2020-2021,8,B123-31,Đầu Cao Giường Full ,0,PKV,NONE,PILLOW KINGDOM,0.0326530612244898,0.0326530612244898,369.92,46.24,0.0326530612244898,0,369.92,0.0,0,369.92,0,0.0,46.24,0
